Income Level,Are gut feelings your go-to when making a big decision,Count
"$10,000 - $19,999",Openness to Revised Impressions,2024
"$10,000 - $19,999",Reliance on First Impressions,1910
"$100,000 - $119,999",Openness to Revised Impressions,19
"$100,000 - $119,999",Reliance on First Impressions,20
"$120,000 - $149,999",Openness to Revised Impressions,13
"$120,000 - $149,999",Reliance on First Impressions,3
"$150,000 - $199,999",Openness to Revised Impressions,4
"$150,000 - $199,999",Reliance on First Impressions,5
"$20,000 - $29,999",Openness to Revised Impressions,1088
"$20,000 - $29,999",Reliance on First Impressions,1094
"$30,000 - $39,999",Openness to Revised Impressions,623
"$30,000 - $39,999",Reliance on First Impressions,580
"$40,000 - $49,999",Openness to Revised Impressions,338
"$40,000 - $49,999",Reliance on First Impressions,319
"$50,000 - $59,999",Openness to Revised Impressions,178
"$50,000 - $59,999",Reliance on First Impressions,171
"$60,000 - $69,999",Openness to Revised Impressions,103
"$60,000 - $69,999",Reliance on First Impressions,86
"$70,000 - $79,999",Openness to Revised Impressions,52
"$70,000 - $79,999",Reliance on First Impressions,62
"$80,000 - $99,999",Openness to Revised Impressions,55
"$80,000 - $99,999",Reliance on First Impressions,62
"Less than $10,000",Openness to Revised Impressions,2588
"Less than $10,000",Reliance on First Impressions,2602
Prefer not to say,Openness to Revised Impressions,487
Prefer not to say,Reliance on First Impressions,514
