Tendency,Income Level,How much do your familys opinions weigh in on your decisions,Count
Exaggerating themselves slightly,"$10,000 - $19,999",Preference for Delayed Gratification,926
Exaggerating themselves slightly,"$10,000 - $19,999",Preference for Immediate Rewards,950
Exaggerating themselves slightly,"$100,000 - $119,999",Preference for Delayed Gratification,12
Exaggerating themselves slightly,"$100,000 - $119,999",Preference for Immediate Rewards,11
Exaggerating themselves slightly,"$120,000 - $149,999",Preference for Delayed Gratification,4
Exaggerating themselves slightly,"$120,000 - $149,999",Preference for Immediate Rewards,4
Exaggerating themselves slightly,"$150,000 - $199,999",Preference for Delayed Gratification,1
Exaggerating themselves slightly,"$20,000 - $29,999",Preference for Delayed Gratification,485
Exaggerating themselves slightly,"$20,000 - $29,999",Preference for Immediate Rewards,540
Exaggerating themselves slightly,"$30,000 - $39,999",Preference for Delayed Gratification,295
Exaggerating themselves slightly,"$30,000 - $39,999",Preference for Immediate Rewards,277
Exaggerating themselves slightly,"$40,000 - $49,999",Preference for Delayed Gratification,159
Exaggerating themselves slightly,"$40,000 - $49,999",Preference for Immediate Rewards,172
Exaggerating themselves slightly,"$50,000 - $59,999",Preference for Delayed Gratification,81
Exaggerating themselves slightly,"$50,000 - $59,999",Preference for Immediate Rewards,90
Exaggerating themselves slightly,"$60,000 - $69,999",Preference for Delayed Gratification,40
Exaggerating themselves slightly,"$60,000 - $69,999",Preference for Immediate Rewards,47
Exaggerating themselves slightly,"$70,000 - $79,999",Preference for Delayed Gratification,34
Exaggerating themselves slightly,"$70,000 - $79,999",Preference for Immediate Rewards,25
Exaggerating themselves slightly,"$80,000 - $99,999",Preference for Delayed Gratification,20
Exaggerating themselves slightly,"$80,000 - $99,999",Preference for Immediate Rewards,36
Exaggerating themselves slightly,"Less than $10,000",Preference for Delayed Gratification,1242
Exaggerating themselves slightly,"Less than $10,000",Preference for Immediate Rewards,1201
Exaggerating themselves slightly,Prefer not to say,Preference for Delayed Gratification,237
Exaggerating themselves slightly,Prefer not to say,Preference for Immediate Rewards,222
Telling the Truth,"$10,000 - $19,999",Preference for Delayed Gratification,612
Telling the Truth,"$10,000 - $19,999",Preference for Immediate Rewards,588
Telling the Truth,"$100,000 - $119,999",Preference for Delayed Gratification,7
Telling the Truth,"$100,000 - $119,999",Preference for Immediate Rewards,7
Telling the Truth,"$120,000 - $149,999",Preference for Delayed Gratification,3
Telling the Truth,"$120,000 - $149,999",Preference for Immediate Rewards,1
Telling the Truth,"$150,000 - $199,999",Preference for Delayed Gratification,2
Telling the Truth,"$150,000 - $199,999",Preference for Immediate Rewards,4
Telling the Truth,"$20,000 - $29,999",Preference for Delayed Gratification,339
Telling the Truth,"$20,000 - $29,999",Preference for Immediate Rewards,333
Telling the Truth,"$30,000 - $39,999",Preference for Delayed Gratification,179
Telling the Truth,"$30,000 - $39,999",Preference for Immediate Rewards,200
Telling the Truth,"$40,000 - $49,999",Preference for Delayed Gratification,89
Telling the Truth,"$40,000 - $49,999",Preference for Immediate Rewards,87
Telling the Truth,"$50,000 - $59,999",Preference for Delayed Gratification,57
Telling the Truth,"$50,000 - $59,999",Preference for Immediate Rewards,49
Telling the Truth,"$60,000 - $69,999",Preference for Delayed Gratification,30
Telling the Truth,"$60,000 - $69,999",Preference for Immediate Rewards,30
Telling the Truth,"$70,000 - $79,999",Preference for Delayed Gratification,16
Telling the Truth,"$70,000 - $79,999",Preference for Immediate Rewards,23
Telling the Truth,"$80,000 - $99,999",Preference for Delayed Gratification,21
Telling the Truth,"$80,000 - $99,999",Preference for Immediate Rewards,18
Telling the Truth,"Less than $10,000",Preference for Delayed Gratification,765
Telling the Truth,"Less than $10,000",Preference for Immediate Rewards,815
Telling the Truth,Prefer not to say,Preference for Delayed Gratification,164
Telling the Truth,Prefer not to say,Preference for Immediate Rewards,150
Understating themselves a lot,"$10,000 - $19,999",Preference for Delayed Gratification,422
Understating themselves a lot,"$10,000 - $19,999",Preference for Immediate Rewards,436
Understating themselves a lot,"$100,000 - $119,999",Preference for Delayed Gratification,2
Understating themselves a lot,"$120,000 - $149,999",Preference for Delayed Gratification,1
Understating themselves a lot,"$120,000 - $149,999",Preference for Immediate Rewards,3
Understating themselves a lot,"$150,000 - $199,999",Preference for Delayed Gratification,2
Understating themselves a lot,"$20,000 - $29,999",Preference for Delayed Gratification,238
Understating themselves a lot,"$20,000 - $29,999",Preference for Immediate Rewards,247
Understating themselves a lot,"$30,000 - $39,999",Preference for Delayed Gratification,118
Understating themselves a lot,"$30,000 - $39,999",Preference for Immediate Rewards,134
Understating themselves a lot,"$40,000 - $49,999",Preference for Delayed Gratification,75
Understating themselves a lot,"$40,000 - $49,999",Preference for Immediate Rewards,75
Understating themselves a lot,"$50,000 - $59,999",Preference for Delayed Gratification,33
Understating themselves a lot,"$50,000 - $59,999",Preference for Immediate Rewards,39
Understating themselves a lot,"$60,000 - $69,999",Preference for Delayed Gratification,20
Understating themselves a lot,"$60,000 - $69,999",Preference for Immediate Rewards,22
Understating themselves a lot,"$70,000 - $79,999",Preference for Delayed Gratification,11
Understating themselves a lot,"$70,000 - $79,999",Preference for Immediate Rewards,5
Understating themselves a lot,"$80,000 - $99,999",Preference for Delayed Gratification,15
Understating themselves a lot,"$80,000 - $99,999",Preference for Immediate Rewards,7
Understating themselves a lot,"Less than $10,000",Preference for Delayed Gratification,584
Understating themselves a lot,"Less than $10,000",Preference for Immediate Rewards,583
Understating themselves a lot,Prefer not to say,Preference for Delayed Gratification,110
Understating themselves a lot,Prefer not to say,Preference for Immediate Rewards,118
